textA,textB,label
The sky is blue,The ocean is blue,1
She is eating an apple,She is eating a fruit,1
He is sleeping,He is running,0
A woman is cooking dinner,A lady is preparing a meal,1
A dog is barking,A cat is meowing,0
Children are playing in the park,Kids are enjoying at the playground,1
The car is red,The vehicle is red,1
Birds are flying in the sky,Fish are swimming in the sea,0
He is reading a book,He is watching a movie,0
A boy is climbing a tree,A child is scaling a tree,1
The lights are on,The lights are off,0
He is drinking coffee,He is having tea,0
They are walking in the forest,They are hiking in the woods,1
The sun is shining,It is a sunny day,1
A man is riding a bike,A man is riding a bicycle,1
The girl is painting a picture,The girl is drawing,1
The room is dark,The room is bright,0
A woman is driving a car,A woman is cooking,0
The cat is sleeping on the bed,The cat is resting,1
She is playing the guitar,She is playing an instrument,1
The child is crying,The baby is laughing,0
He is jogging in the morning,He runs every morning,1
They are studying for exams,They are reading books,1
The baby is crawling,The toddler is walking,0
He is fixing the computer,He is repairing a laptop,1
The cake is delicious,The dessert tastes good,1
They are dancing at the party,They are celebrating,1
She is swimming in the pool,She is sleeping,0
He is looking at the stars,He is stargazing,1
She is cutting vegetables,She is chopping carrots,1
The phone is ringing,The bell is ringing,0
He is playing the piano,He is playing music,1
The laptop is broken,The computer is not working,1
She is watching TV,She is listening to music,0
The weather is cold,It is snowing outside,1
The boy is jumping,A girl is sitting,0
They are eating lunch,They are having a meal,1
She is cleaning the house,She is doing chores,1
The bottle is empty,The bottle is full,0
He is angry,He is upset,1
She is wearing a dress,She is wearing a hat,0
The dog is chasing the ball,The dog is running,1
They are climbing a mountain,They are on a hike,1
He is playing chess,He is reading a book,0
The woman is smiling,The lady is laughing,1
A man is eating pizza,A man is eating food,1
They are watching a movie,They are watching TV,1
The baby is sleeping,The child is awake,0
The teacher is explaining,The instructor is teaching,1
She is holding a baby,She is carrying a child,1
He is planting flowers,He is gardening,1
The house is big,The house is small,0
He is sitting on a bench,He is lying on a bed,0
A girl is riding a horse,A girl is on a pony,1
They are buying groceries,They are shopping,1
She is playing with her dog,She is playing with her cat,0
The man is running a marathon,He is participating in a race,1
The lights are blinking,The lights are stable,0
The soup is hot,The soup is cold,0
The students are writing,The students are taking notes,1
He is surfing the internet,He is browsing websites,1
She is talking on the phone,She is speaking,1
They are attending a wedding,They are at a ceremony,1
A boy is drawing a house,A boy is sketching a building,1
He is eating a sandwich,He is eating a burger,1
She is reading a magazine,She is reading a book,1
The wind is strong,The weather is windy,1
The man is sleeping,The man is exercising,0
She is feeding her baby,She is giving food to her infant,1
They are planting trees,They are working in the garden,1
The child is screaming,The child is silent,0
A man is drinking water,A man is staying hydrated,1
He is playing soccer,He is playing sports,1
She is running,A woman is jogging,1
A cat is licking its paw,A cat is grooming itself,1
They are setting the table,They are preparing to eat,1
She is riding a bicycle,She is driving a car,0
The man is shaving,The man is brushing his hair,0
They are painting a wall,They are redecorating,1
The woman is tying her shoes,The woman is getting ready,1
The sun is setting,It is becoming dark,1
He is opening the door,He is closing the window,0
They are waiting in line,They are standing in a queue,1
A boy is kicking a ball,A boy is playing soccer,1
She is fixing her hair,She is styling herself,1
He is sleeping,He is unconscious,1
She is jogging,A woman is running,1
They are holding hands,They are walking together,1
